Date,Ref/Check,Description,Amount,Balance,Memo,Category
5/2/26,,Pending: 05/02/2026 - Memo Debit ATM - 215 HARVEY ST WINSTON SALEM NC000000024000122818260502006476,-240,112.98,,
5/2/26,,Pending: 05/02/2026 - Memo Debit ATM - 215 HARVEY ST WINSTON SALEM NC000000050000122613260502006475,-500,352.98,,
5/1/26,,Pending: 05/01/2026 - Memo Debit POS - C AND H CAFETERI KERNERSVILLE NC000000002325133611260501047586,-23.25,852.98,,
5/1/26,,Pending: 05/01/2026 - Memo Debit POS - APPLE.COM/BILL CUPERTINO CA000000000999131847260501136278,-9.99,876.23,,
5/1/26,,Pending: 05/01/2026 - Memo Debit POS - Spectrum SAINT LOUIS MO000000012000115054260501735834,-120,886.22,,
5/1/26,,Pending: 05/01/2026 - Memo Debit POS - MONTE DE REY OF CLEMMONS NC000000004841211132260501001507,-48.41,1006.22,,
4/30/26,,Pending: 04/30/2026 - Memo Debit POS - WHATABURGER 1559 WINSTON SALEM NC000000000694143139260430766071,-6.94,1054.63,,
5/2/26,, Pending: 05/02/2026 - Telephone/OLB Transfer Credit OLB Transfer from *448 to *535Transfer,100,1061.57,,
5/2/26,, Pending: 05/02/2026 - Telephone/OLB Transfer Credit OLB Transfer from *448 to *535Transfer,800,961.57,,
5/1/26,,Daily Ledger Bal,,161.57,,
5/1/26,,DUKEENERGYCORPOR WEB_PAY 4700130001 1101368049,-675.61,161.57,,
5/1/26,,SPRING TAILOR WINSTON SALEM NC 43026 405546 Card#5412,-15,837.18,,
5/1/26,,AMAZON.COM*BV28P SEATTLE WA 50126 100000 Card#7349,-9.62,852.18,,
5/1/26,,DOLLAR-GENERAL # CLEMMONS NC 50126 259860 Card#5412,-8.56,861.8,,
4/30/26,,Daily Ledger Bal,,870.36,,
4/30/26,,WHOLEFDS WIN 101 WINSTON-SALEM NC 43026 931951 Card#5412,-244.91,870.36,,
4/30/26,,MCDONALD'S F1030 WINSTON SALEM NC 42926 719591 Card#7349,-18.81,1115.27,,
4/30/26,,WHOLEFDS WIN 101 WINSTON-SALEM NC 43026 913086 Card#5412,-12.83,1134.08,,
4/30/26,,WHOLEFDS WIN 101 WINSTON-SALEM NC 43026 923373 Card#5412,-7.04,1146.91,,
4/30/26,,"NCDOR IND INCOME NCSTTAXRFD 2561611838 GRIFFIN, STEVEN A & TA",791.05,1153.95,,
4/29/26,,Daily Ledger Bal,,362.9,,
4/29/26,,LinkedInPreA *07 MOUNTAIN VIEW CA 42826 824268 Card#7349,-42.79,362.9,,
4/28/26,,Daily Ledger Bal,,405.69,,
4/28/26,,AAA MEMBERSHIP R CHARLOTTE NC 42726 280404 Card#7349,-237,405.69,,
4/27/26,,Daily Ledger Bal,,642.69,,
4/27/26,,WHOLEFDS WIN 101 WINSTON-SALEM NC 42526 960292 Card#5412,-305.28,642.69,,
4/27/26,,VENMO *ANDREW MI 8558124430 NY 42526 908850 Card#7349,-157,947.97,,
4/27/26,,APPLE.COM/BILL CUPERTINO CA 42526 243040 Card#7349,-69.54,1104.97,,
4/27/26,,SEA PRODUCTS INC WINSTON SALEM NC 42526 519202 Card#5412,-60.25,1174.51,,
4/27/26,,FOOD LION #1062 LEWISVILLE NC 42526 012974 Card#5412,-44.59,1234.76,,
4/27/26,,BP#1088100QUALI LEWISVILLE NC 42526 797794 Card#5412,-35.37,1279.35,,
4/27/26,,4314 GREAT CLIPS CLEMMONS NC 42426 552986 Card#7349,-26,1314.72,,
4/27/26,,CHIPOTLE 2101 HICKORY NC 42426 021591 Card#5412,-17.07,1340.72,,
4/27/26,,MICROSOFT*MICROS REDMOND WA 42726 066808 Card#7349,-13.9,1357.79,,
4/27/26,,SP BRIDGE CITY C GREENVILLE SC 42426 595489 Card#5412,-9.02,1371.69,,
4/27/26,,OLB Transfer from *448 to *535 Transfer,800,1380.71,,
4/27/26,,OLB Transfer from *448 to *535 Transfer,600,580.71,,
4/27/26,,OLB Transfer from *448 to *535 Transfer,200,-19.29,,
4/24/26,,Daily Ledger Bal,,-219.29,,
4/24/26,3077,Paid Item Fee,-30,-219.29,,
4/24/26,3077,Check,-100,-189.29,,
4/24/26,,THE LAZY GOAT GREENVILLE SC 42326 142677 Card#7349,-116.12,-89.29,,
4/24/26,,HARMONY NAILS WINSTON SALEM NC 42226 878837 Card#5412,-80.4,26.83,,
4/24/26,,AMAZON.COM*BS6EZ SEATTLE WA 42426 600000 Card#7349,-78.22,107.23,,
4/24/26,,HARRIS TEETER #0 CLEMMONS NC 42426 002133 Card#5412,-57.15,185.45,,
4/24/26,,QT 1104 OUTSIDE GREENVILLE SC 42426 037828 Card#5412,-53.16,242.6,,
